wallet,vendor,category,pqc_stance,crypto_agility,protocol_pqc,contract_pqc_support,offchain_pqc,date_last_updated,audit,report
NuFi,Vacuumlabs spin-out,Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,wallets/nufi.md
Typhon,Strica Pte Ltd,Software,not-applicable.svg,no.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,wallets/typhon.md
VESPR,DigitalBlock Labs (UK),Software,not-applicable.svg,no.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,wallets/vespr.md
Keeper Wallet,Keeper Wallet,Software,not-applicable.svg,no.svg,not-applicable.svg,yes-but.svg,no.svg,2026-05-11,,wallets/keeper.md
VeWorld,VeChain Foundation,Software,not-applicable.svg,no.svg,not-applicable.svg,yes-but.svg,no.svg,2026-05-11,,wallets/veworld.md
Gero,A.D. Labs,Software,not-applicable.svg,no.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,wallets/gero.md
Bitmask,DIBA,Software,not-applicable.svg,not-applicable.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,wallets/bitmask.md
Fin,Coin98 / Ninety Eight,Software,not-applicable.svg,no.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,
Flow Wallet,Outblock / Flow Foundation,Software,not-applicable.svg,yes-but.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,wallets/flow.md
Suku,Citizens Reserve,Software,not-applicable.svg,no.svg,not-applicable.svg,yes-but.svg,no.svg,2026-05-11,,wallets/suku.md
Fox Wallet,Fox Wallet,Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,wallets/fox.md
Nabox,Nabox,Software,not-applicable.svg,no.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,
LOBSTR,Ultra Stellar,Software,not-applicable.svg,no.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,
Internet Money,Decentralized Innovations LLC,Software,not-applicable.svg,no.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,
Glass Wallet,Movebase Labs,Software,not-applicable.svg,no.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,
Fearless,Soramitsu,Software,not-applicable.svg,no.svg,not-applicable.svg,yes-but.svg,no.svg,2026-05-11,,wallets/fearless.md
Pali,Pollum / Syscoin Foundation,Software,not-applicable.svg,no.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,
